Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33105,Chambéry Trafic,Urbaine,NO2,Trafic,Oui,mesures indicatives,Moy. annuelle,21.0,20.993075356415503,µg-m3,,,,R,1,45.56943,5.932986
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33111,SAINT JEAN,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,10.0,10.43735453393248,µg-m3,,,,R,1,45.274723,6.349722
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33113,Maurienne Trafic,Périurbaine,NO2,Trafic,Oui,mesures indicatives,Moy. annuelle,12.0,12.123204419889507,µg-m3,,,,R,1,45.209364,6.480326
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33120,CHAMONIX,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,19.0,19.31778507742842,µg-m3,,,,R,1,45.9225,6.87
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR04,ZAR VALLEE-DE-LA-TARANTAISE,FR33121,Albertville,Urbaine,NO2,Fond,Oui,estimation objective,Moy. annuelle,16.0,15.638920913073614,µg-m3,100.0,99.0,99.0,R,1,45.675,6.389722
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33201,LOVERCHY,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,20.0,20.176287590736276,µg-m3,,,,R,1,45.89528,6.118333
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33202,NOVEL,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,14.0,13.796205280603456,µg-m3,100.0,100.0,100.0,R,1,45.916943,6.135556
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33203,ANNECY Rocade,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,28.0,27.58519805420435,µg-m3,99.0,99.0,99.0,R,1,45.9097,6.11825
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33211,ANNEMASSE,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,19.0,18.56008812615956,µg-m3,,,,R,1,46.19583,6.240556
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33212,GAILLARD,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,14.0,14.431086142322105,µg-m3,,,,R,1,46.19369,6.214858
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33220,PASSY,Périurbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,13.0,13.27444008312168,µg-m3,,,,R,1,45.92361,6.713611
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33232,BOSSONS,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,32.0,32.43670590977971,µg-m3,98.0,100.0,98.0,R,1,45.907223,6.845833
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33302,St Germain/Rhône,Rurale près des villes,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,4.0,4.239478561720001,µg-m3,,,,R,1,46.072224,5.820833
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33305,Bourg-en-Bresse,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,12.113979788257938,µg-m3,96.0,99.0,95.0,R,1,46.211666,5.226389
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34013,Gambetta,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,23.0,22.655626715461995,µg-m3,100.0,100.0,100.0,R,1,47.907083,1.901139
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34014,St Jean,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,9.0,8.826313348022751,µg-m3,98.0,100.0,98.0,R,1,47.917398,1.966258
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34024,Joué lès Tours,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,10.0,10.09355728854224,µg-m3,98.0,97.0,95.0,R,1,47.344139,0.653778
